       step          sn     cputime cputimediff       angle         ref           v 
 122.000000  343.000000    1.718417    0.005951 -100.019531 -102.600000    0.243024 
 123.000000  344.000000    1.724372    0.005955  -97.646484 -100.800000   -0.025503 
 124.000000  345.000000    1.730321    0.005949  -95.361328  -99.000000   -0.210021 
 125.000000  346.000000    1.736305    0.005984  -94.746094  -97.200000   -0.240024 
 126.000000  347.000000    1.742207    0.005903  -94.746094  -95.400000    0.073507 
 127.000000  349.000000    1.748107    0.005899  -95.361328  -91.800000    0.450045 
 128.000000  350.000000    1.754010    0.005903  -95.625000  -90.000000    0.685569 
 129.000000  351.000000    1.759911    0.005900  -95.625000  -88.200000    0.858086 
 130.000000  352.000000    1.765806    0.005895  -94.042969  -86.400000    0.975098 
 131.000000  353.000000    1.771700    0.005894  -92.021484  -84.600000    0.792079 
 132.000000  354.000000    1.777606    0.005906  -88.769531  -82.800000    0.718572 
 133.000000  356.000000    1.783510    0.005904  -80.947266  -79.200000    1.011101 
 134.000000  357.000000    1.789416    0.005906  -76.025391  -77.400000    0.013501 
 135.000000  358.000000    1.795321    0.005905  -70.400391  -75.600000   -0.381038 
 136.000000  359.000000    1.801223    0.005902  -66.972656  -73.800000   -0.790579 
 137.000000  360.000000    1.807246    0.006022  -64.775391  -72.000000   -0.643564 
 138.000000  362.000000    1.813141    0.005895  -65.039062  -68.400000   -0.090009 
 139.000000  363.000000    1.819233    0.006092  -65.917969  -66.600000    0.172517 
 140.000000  364.000000    1.825161    0.005927  -66.708984  -64.800000    0.415542 
 141.000000  365.000000    1.831060    0.005900  -67.236328  -63.000000    0.619562 
 142.000000  366.000000    1.836965    0.005905  -66.005859  -61.200000    0.780078 
 143.000000  367.000000    1.842857    0.005892  -64.335938  -59.400000    0.601560 
 144.000000  369.000000    1.848752    0.005895  -59.501953  -55.800000    0.922592 
 145.000000  370.000000    1.854661    0.005909  -56.162109  -54.000000    0.355536 
 146.000000  371.000000    1.860570    0.005909  -52.031250  -52.200000    0.115512 
 147.000000  372.000000    1.866466    0.005896  -48.427734  -50.400000   -0.180018 
 148.000000  373.000000    1.872416    0.005950  -46.582031  -48.600000   -0.262526 
 149.000000  375.000000    1.878496    0.006079  -43.330078  -45.000000    0.346535 
 150.000000  376.000000    1.884437    0.005942  -41.923828  -43.200000    0.033003 
 151.000000  377.000000    1.890381    0.005943  -41.044922  -41.400000    0.076508 
 152.000000  378.000000    1.896327    0.005947  -41.044922  -39.600000    0.222022 
 153.000000  379.000000    1.902238    0.005911  -41.396484  -37.800000    0.484548 
 154.000000  381.000000    1.908093    0.005855  -42.099609  -34.200000    0.813081 
 155.000000  382.000000    1.913946    0.005853  -41.572266  -32.400000    1.069607 
 156.000000  383.000000    1.919881    0.005934  -39.990234  -30.600000    1.063606 
 157.000000  384.000000    1.925782    0.005901  -36.914062  -28.800000    0.948095 
 158.000000  385.000000    1.931675    0.005893  -32.958984  -27.000000    0.652565 
 159.000000  386.000000    1.937581    0.005906  -28.212891  -25.200000    0.361536 
 160.000000  388.000000    1.943481    0.005900  -19.072266  -21.600000    0.778578 
 161.000000  389.000000    1.949507    0.006026  -14.853516  -19.800000   -0.409541 
 162.000000  390.000000    1.955403    0.005896  -10.810547  -18.000000   -0.577558 
 163.000000  391.000000    1.961302    0.005899   -7.470703  -16.200000   -0.742574 
 164.000000  392.000000    1.967206    0.005904   -7.207031  -14.400000   -0.781578 
 165.000000  394.000000    1.973181    0.005974  -10.898438  -10.800000   -0.078008 
 166.000000  395.000000    1.979083    0.005902  -13.095703   -9.000000    0.672067 
 167.000000  396.000000    1.984981    0.005899  -14.589844   -7.200000    0.993099 
 168.000000  397.000000    1.990873    0.005892  -13.623047   -5.400000    1.177618 
 169.000000  398.000000    1.996771    0.005897  -11.250000   -3.600000    0.931593 
 170.000000  399.000000    2.002670    0.005899   -7.558594   -1.800000    0.705071 
 171.000000  401.000000    2.008567    0.005897    1.142578    1.800000    1.006601 
 172.000000  402.000000    2.014470    0.005903    6.503906    3.600000   -0.177018 
 173.000000  403.000000    2.020501    0.006031   13.183594    5.400000   -0.553555 
 174.000000  404.000000    2.026398    0.005897   16.259766    7.200000   -1.129613 
 175.000000  405.000000    2.032299    0.005901   17.753906    9.000000   -0.772577 
 176.000000  407.000000    2.038198    0.005899   17.226562   12.600000   -0.207021 
 177.000000  408.000000    2.044099    0.005901   16.523438   14.400000    0.064506 
 178.000000  409.000000    2.050054    0.005955   15.996094   16.200000    0.283528 
 179.000000  410.000000    2.056013    0.005958   15.556641   18.000000    0.453045 
