   step_cpu      sn_cpu cputime_cpu cputimediff_cpu   angle_cpu     ref_cpu   error_cpu       v_cpu 
 111.000000  312.000000    1.565185    0.004949 -178.417969 -158.400000   20.017969    0.627063 
 112.000000  313.000000    1.570183    0.004999 -178.242188 -156.600000   21.642187    0.661566 
 113.000000  314.000000    1.575181    0.004998 -176.572266 -154.800000   21.772266    0.709571 
 114.000000  315.000000    1.580181    0.005000 -175.078125 -153.000000   22.078125    0.405041 
 115.000000  316.000000    1.585184    0.005003 -172.880859 -151.200000   21.680859    0.538554 
 116.000000  317.000000    1.590181    0.004997 -170.068359 -149.400000   20.668359    0.360036 
 117.000000  318.000000    1.595176    0.004995 -166.904297 -147.600000   19.304297    0.250525 
 118.000000  319.000000    1.600186    0.005009 -165.058594 -145.800000   19.258594    0.165017 
 119.000000  320.000000    1.605185    0.004999 -164.091797 -144.000000   20.091797    0.471047 
 120.000000  321.000000    1.610182    0.004998 -162.158203 -142.200000   19.958203    0.627063 
 121.000000  322.000000    1.615179    0.004997 -159.609375 -140.400000   19.209375    0.397540 
 122.000000  323.000000    1.620182    0.005002 -157.324219 -138.600000   18.724219    0.307531 
 123.000000  324.000000    1.625181    0.004999 -155.126953 -136.800000   18.326953    0.378038 
 124.000000  325.000000    1.630179    0.004999 -153.105469 -135.000000   18.105469    0.376538 
 125.000000  326.000000    1.635184    0.005004 -151.259766 -133.200000   18.059766    0.417042 
 126.000000  327.000000    1.640180    0.004996 -149.501953 -131.400000   18.101953    0.454545 
 127.000000  328.000000    1.645169    0.004989 -148.007812 -129.600000   18.407813    0.477048 
 128.000000  329.000000    1.650177    0.005008 -146.337891 -127.800000   18.537891    0.550555 
 129.000000  330.000000    1.655170    0.004992 -144.404297 -126.000000   18.404297    0.513051 
 130.000000  331.000000    1.660179    0.005010 -142.558594 -124.200000   18.358594    0.474047 
 131.000000  332.000000    1.665171    0.004992 -139.658203 -122.400000   17.258203    0.511551 
 132.000000  333.000000    1.670180    0.005010 -136.933594 -120.600000   16.333594    0.253525 
 133.000000  334.000000    1.675171    0.004991 -134.384766 -118.800000   15.584766    0.327033 
 134.000000  335.000000    1.680181    0.005009 -131.923828 -117.000000   14.923828    0.328533 
 135.000000  336.000000    1.685270    0.005089 -129.726562 -115.200000   14.526562    0.331533 
 136.000000  337.000000    1.690181    0.004912 -127.705078 -113.400000   14.305078    0.381038 
 137.000000  338.000000    1.695178    0.004997 -125.771484 -111.600000   14.171484    0.408041 
 138.000000  339.000000    1.700181    0.005003 -124.013672 -109.800000   14.213672    0.424542 
 139.000000  340.000000    1.705178    0.004997 -122.431641 -108.000000   14.431641    0.468047 
 140.000000  341.000000    1.710183    0.005006 -121.025391 -106.200000   14.825391    0.511551 
 141.000000  342.000000    1.715178    0.004994 -119.531250 -104.400000   15.131250    0.562556 
 142.000000  343.000000    1.720187    0.005009 -116.103516 -102.600000   13.503516    0.553555 
 143.000000  344.000000    1.725179    0.004992 -113.378906 -100.800000   12.578906    0.102010 
 144.000000  345.000000    1.730182    0.005003 -111.445312  -99.000000   12.445313    0.328533 
 145.000000  346.000000    1.735368    0.005186 -109.687500  -97.200000   12.487500    0.444044 
 146.000000  347.000000    1.740190    0.004822 -108.105469  -95.400000   12.705469    0.463546 
 147.000000  348.000000    1.745181    0.004991 -106.083984  -93.600000   12.483984    0.511551 
 148.000000  349.000000    1.750184    0.005003 -103.095703  -91.800000   11.295703    0.408041 
 149.000000  350.000000    1.755182    0.004998 -101.250000  -90.000000   11.250000    0.195020 
 150.000000  351.000000    1.760327    0.005145  -99.667969  -88.200000   11.467969    0.489049 
 151.000000  352.000000    1.765184    0.004856  -97.646484  -86.400000   11.246484    0.490549 
 152.000000  353.000000    1.770190    0.005006  -95.097656  -84.600000   10.497656    0.397540 
 153.000000  354.000000    1.775178    0.004988  -92.724609  -82.800000    9.924609    0.288029 
 154.000000  355.000000    1.780191    0.005013  -90.439453  -81.000000    9.439453    0.336034 
 155.000000  356.000000    1.785184    0.004993  -88.242188  -79.200000    9.042188    0.331533 
 156.000000  357.000000    1.790183    0.004999  -86.748047  -77.400000    9.348047    0.342034 
 157.000000  358.000000    1.795176    0.004992  -85.693359  -75.600000   10.093359    0.504050 
 158.000000  359.000000    1.800188    0.005013  -83.759766  -73.800000    9.959766    0.591059 
 159.000000  360.000000    1.805181    0.004993  -81.826172  -72.000000    9.826172    0.388539 
 160.000000  361.000000    1.810231    0.005050  -79.980469  -70.200000    9.780469    0.438044 
 161.000000  362.000000    1.815180    0.004949  -77.958984  -68.400000    9.558984    0.450045 
 162.000000  363.000000    1.820188    0.005008  -75.322266  -66.600000    8.722266    0.408041 
 163.000000  364.000000    1.825183    0.004995  -72.685547  -64.800000    7.885547    0.264026 
 164.000000  365.000000    1.830187    0.005004  -70.312500  -63.000000    7.312500    0.271527 
 165.000000  366.000000    1.835179    0.004993  -68.027344  -61.200000    6.827344    0.309031 
 166.000000  367.000000    1.840186    0.005007  -66.796875  -59.400000    7.396875    0.304530 
 167.000000  368.000000    1.845180    0.004994  -65.917969  -57.600000    8.317969    0.552055 
 168.000000  369.000000    1.850186    0.005006  -63.808594  -55.800000    8.008594    0.606061 
 169.000000  370.000000    1.855179    0.004993  -61.435547  -54.000000    7.435547    0.330033 
 170.000000  371.000000    1.860183    0.005004  -58.535156  -52.200000    6.335156    0.324032 
 171.000000  372.000000    1.865180    0.004997  -56.777344  -50.400000    6.377344    0.178518 
 172.000000  373.000000    1.870183    0.005003  -55.283203  -48.600000    6.683203    0.456046 
 173.000000  374.000000    1.875187    0.005005  -53.261719  -46.800000    6.461719    0.462046 
 174.000000  375.000000    1.880182    0.004995  -50.976562  -45.000000    5.976562    0.346535 
 175.000000  376.000000    1.885183    0.005002  -48.955078  -43.200000    5.755078    0.304530 
 176.000000  377.000000    1.890174    0.004991  -47.373047  -41.400000    5.973047    0.364536 
 177.000000  378.000000    1.895179    0.005005  -46.669922  -39.600000    7.069922    0.454545 
 178.000000  379.000000    1.900184    0.005004  -45.703125  -37.800000    7.903125    0.661566 
 179.000000  380.000000    1.905182    0.004998  -43.857422  -36.000000    7.857422    0.594059 
 180.000000  381.000000    1.910180    0.004998  -40.605469  -34.200000    6.405469    0.430543 
 181.000000  382.000000    1.915183    0.005003  -37.617188  -32.400000    5.217188    0.126013 
 182.000000  383.000000    1.920186    0.005003  -35.419922  -30.600000    4.819922    0.211521 
 183.000000  384.000000    1.925183    0.004997  -33.662109  -28.800000    4.862109    0.345035 
 184.000000  385.000000    1.930170    0.004987  -31.904297  -27.000000    4.904297    0.409541 
 185.000000  386.000000    1.935217    0.005048  -30.322266  -25.200000    5.122266    0.399040 
 186.000000  387.000000    1.940173    0.004955  -28.037109  -23.400000    4.637109    0.450045 
 187.000000  388.000000    1.945178    0.005006  -25.927734  -21.600000    4.327734    0.276028 
 188.000000  389.000000    1.950170    0.004992  -24.433594  -19.800000    4.633594    0.345035 
 189.000000  390.000000    1.955181    0.005011  -23.115234  -18.000000    5.115234    0.471047 
 190.000000  391.000000    1.960171    0.004990  -21.884766  -16.200000    5.684766    0.499550 
 191.000000  392.000000    1.965180    0.005008  -20.214844  -14.400000    5.814844    0.535554 
 192.000000  393.000000    1.970171    0.004991  -17.841797  -12.600000    5.241797    0.444044 
 193.000000  394.000000    1.975178    0.005007  -15.732422  -10.800000    4.932422    0.301530 
 194.000000  395.000000    1.980245    0.005066  -13.710938   -9.000000    4.710938    0.382538 
 195.000000  396.000000    1.985180    0.004936  -11.689453   -7.200000    4.489453    0.376538 
 196.000000  397.000000    1.990180    0.005000   -9.052734   -5.400000    3.652734    0.372037 
 197.000000  398.000000    1.995179    0.004999   -6.503906   -3.600000    2.903906    0.216022 
 198.000000  399.000000    2.000177    0.004998   -4.570312   -1.800000    2.770313    0.246025 
 199.000000  400.000000    2.005180    0.005003   -3.515625    0.000000    3.515625    0.364536 
 200.000000  401.000000    2.010179    0.004998   -2.460938    1.800000    4.260937    0.549055 
 201.000000  402.000000    2.015223    0.005045   -1.582031    3.600000    5.182031    0.535554 
 202.000000  403.000000    2.020180    0.004956    0.878906    5.400000    4.521094    0.612061 
 203.000000  404.000000    2.025182    0.005003    3.164062    7.200000    4.035938    0.243024 
 204.000000  405.000000    2.030182    0.004999    5.625000    9.000000    3.375000    0.351035 
 205.000000  406.000000    2.035188    0.005006    7.910156   10.800000    2.889844    0.267027 
 206.000000  407.000000    2.040181    0.004993   10.019531   12.600000    2.580469    0.307531 
 207.000000  408.000000    2.045181    0.005000   12.041016   14.400000    2.358984    0.325533 
 208.000000  409.000000    2.050180    0.004999   13.710938   16.200000    2.489062    0.333033 
 209.000000  410.000000    2.055184    0.005004   15.117188   18.000000    2.882812    0.411041 
 210.000000  411.000000    2.060218    0.005034   16.171875   19.800000    3.628125    0.463546 
 211.000000  412.000000    2.065189    0.004971   17.138672   21.600000    4.461328    0.555056 
 212.000000  413.000000    2.070177    0.004987   17.929688   23.400000    5.470312    0.585059 
 213.000000  414.000000    2.075186    0.005009   19.687500   25.200000    5.512500    0.655566 
 214.000000  415.000000    2.080185    0.004999   22.324219   27.000000    4.675781    0.442544 
 215.000000  416.000000    2.085182    0.004998   25.751953   28.800000    3.048047    0.282028 
 216.000000  417.000000    2.090181    0.004999   27.949219   30.600000    2.650781    0.097510 
 217.000000  418.000000    2.095182    0.005001   29.443359   32.400000    2.956641    0.384038 
 218.000000  419.000000    2.100183    0.005001   31.552734   34.200000    2.647266    0.477048 
 219.000000  420.000000    2.105189    0.005006   33.837891   36.000000    2.162109    0.318032 
 220.000000  421.000000    2.110180    0.004991   36.035156   37.800000    1.764844    0.301530 
 221.000000  422.000000    2.115191    0.005011   38.056641   39.600000    1.543359    0.310531 
 222.000000  423.000000    2.120182    0.004990   39.902344   41.400000    1.497656    0.337534 
 223.000000  424.000000    2.125186    0.005005   40.781250   43.200000    2.418750    0.367537 
 224.000000  425.000000    2.130181    0.004995   41.572266   45.000000    3.427734    0.597060 
 225.000000  426.000000    2.135182    0.005001   43.417969   46.800000    3.382031    0.601560 
 226.000000  427.000000    2.140178    0.004997   45.615234   48.600000    2.984766    0.381038 
 227.000000  428.000000    2.145182    0.005004   47.548828   50.400000    2.851172    0.346535 
 228.000000  429.000000    2.150188    0.005006   49.482422   52.200000    2.717578    0.406541 
 229.000000  430.000000    2.155182    0.004994   52.031250   54.000000    1.968750    0.390039 
 230.000000  431.000000    2.160180    0.004998   54.667969   55.800000    1.132031    0.240024 
 231.000000  432.000000    2.165180    0.005000   56.953125   57.600000    0.646875    0.226523 
 232.000000  433.000000    2.170182    0.005002   59.150391   59.400000    0.249609    0.285029 
 233.000000  434.000000    2.175184    0.005002   60.292969   61.200000    0.907031    0.274527 
 234.000000  435.000000    2.180181    0.004998   60.908203   63.000000    2.091797    0.522052 
 235.000000  436.000000    2.185227    0.005046   61.523437   64.800000    3.276563    0.619562 
 236.000000  437.000000    2.190181    0.004954   63.632812   66.600000    2.967188    0.642064 
 237.000000  438.000000    2.195189    0.005009   66.093750   68.400000    2.306250    0.315032 
 238.000000  439.000000    2.200181    0.004992   68.818359   70.200000    1.381641    0.295530 
 239.000000  440.000000    2.205179    0.004998   71.367188   72.000000    0.632813    0.211521 
 240.000000  441.000000    2.210179    0.005001   73.740234   73.800000    0.059766    0.241524 
 241.000000  442.000000    2.215179    0.005000   75.849609   75.600000   -0.249609    0.250525 
 242.000000  443.000000    2.220182    0.005003   77.343750   77.400000    0.056250    0.292529 
 243.000000  444.000000    2.225167    0.004985   78.574219   79.200000    0.625781    0.421542 
 244.000000  445.000000    2.230181    0.005013   79.277344   81.000000    1.722656    0.468047 
 245.000000  446.000000    2.235172    0.004991   79.892578   82.800000    2.907422    0.609061 
 246.000000  447.000000    2.240180    0.005008   80.332031   84.600000    4.267969    0.639064 
 247.000000  448.000000    2.245174    0.004995   81.914062   86.400000    4.485938    0.721572 
 248.000000  449.000000    2.250183    0.005008   83.759766   88.200000    4.440234    0.475548 
 249.000000  450.000000    2.255171    0.004989   86.748047   90.000000    3.251953    0.480048 
 250.000000  451.000000    2.260181    0.005010   90.175781   91.800000    1.624219    0.199520 
 251.000000  452.000000    2.265171    0.004990   92.460938   93.600000    1.139063    0.115512 
 252.000000  453.000000    2.270183    0.005013   93.779297   95.400000    1.620703    0.357036 
 253.000000  454.000000    2.275205    0.005021   95.800781   97.200000    1.399219    0.520552 
 254.000000  455.000000    2.280181    0.004977   98.085938   99.000000    0.914062    0.328533 
 255.000000  456.000000    2.285179    0.004998  100.283203  100.800000    0.516797    0.301530 
 256.000000  457.000000    2.290183    0.005004  102.304688  102.600000    0.295313    0.312031 
 257.000000  458.000000    2.295178    0.004996  104.150391  104.400000    0.249609    0.337534 
 258.000000  459.000000    2.300184    0.005006  105.117188  106.200000    1.082812    0.366037 
 259.000000  460.000000    2.305181    0.004997  105.908203  108.000000    2.091797    0.574557 
 260.000000  461.000000    2.310226    0.005045  107.578125  109.800000    2.221875    0.600060 
 261.000000  462.000000    2.315176    0.004950  109.863281  111.600000    1.736719    0.417042 
 262.000000  463.000000    2.320183    0.005007  111.972656  113.400000    1.427344    0.315032 
 263.000000  464.000000    2.325178    0.004995  113.906250  115.200000    1.293750    0.364536 
 264.000000  465.000000    2.330180    0.005002  116.191406  117.000000    0.808594    0.385539 
 265.000000  466.000000    2.335178    0.004998  119.091797  118.800000   -0.291797    0.289529 
 266.000000  467.000000    2.340183    0.005005  121.728516  120.600000   -1.128516    0.142514 
 267.000000  468.000000    2.345179    0.004996  123.310547  122.400000   -0.910547    0.201020 
 268.000000  469.000000    2.350186    0.005007  124.101562  124.200000    0.098438    0.414041 
 269.000000  470.000000    2.355177    0.004991  124.804688  126.000000    1.195313    0.565557 
 270.000000  471.000000    2.360188    0.005011  125.332031  127.800000    2.467969    0.589559 
 271.000000  472.000000    2.365177    0.004989  127.177734  129.600000    2.422266    0.669067 
 272.000000  473.000000    2.370186    0.005009  129.462891  131.400000    1.937109    0.375038 
 273.000000  474.000000    2.375179    0.004993  132.187500  133.200000    1.012500    0.336034 
 274.000000  475.000000    2.380183    0.005004  134.912109  135.000000    0.087891    0.220522 
 275.000000  476.000000    2.385182    0.004999  137.460938  136.800000   -0.660938    0.213021 
 276.000000  477.000000    2.390184    0.005002  139.658203  138.600000   -1.058203    0.223522 
 277.000000  478.000000    2.395178    0.004994  141.240234  140.400000   -0.840234    0.279028 
 278.000000  479.000000    2.400189    0.005011  142.646484  142.200000   -0.446484    0.402040 
 279.000000  480.000000    2.405186    0.004998  143.437500  144.000000    0.562500    0.424542 
 280.000000  481.000000    2.410189    0.005002  144.052734  145.800000    1.747266    0.585059 
 281.000000  482.000000    2.415181    0.004992  144.492188  147.600000    3.107813    0.628563 
 282.000000  483.000000    2.420188    0.005007  145.634766  149.400000    3.765234    0.706571 
 283.000000  484.000000    2.425182    0.004995  147.304688  151.200000    3.895312    0.568557 
 284.000000  485.000000    2.430184    0.005001  149.853516  153.000000    3.146484    0.498050 
 285.000000  486.000000    2.435219    0.005035  153.369141  154.800000    1.430859    0.306031 
 286.000000  487.000000    2.440183    0.004965  156.357422  156.600000    0.242578    0.087009 
 287.000000  488.000000    2.445179    0.004995  157.763672  158.400000    0.636328    0.205521 
 288.000000  489.000000    2.450184    0.005006  159.433594  160.200000    0.766406    0.522052 
 289.000000  490.000000    2.455186    0.005001  161.806641  162.000000    0.193359    0.397540 
 290.000000  491.000000    2.460184    0.004999  164.179688  163.800000   -0.379687    0.259526 
