       step          sn     cputime cputimediff       angle         ref       error           v 
  94.000000  312.000000    1.578116    0.005899 -156.445312 -158.400000   -1.954687   -0.165017 
  95.000000  313.000000    1.584015    0.005899 -156.708984 -156.600000    0.108984    0.075008 
  96.000000  315.000000    1.590041    0.006025 -157.763672 -153.000000    4.763672    0.633063 
  97.000000  316.000000    1.595935    0.005894 -158.115234 -151.200000    6.915234    0.925593 
  98.000000  317.000000    1.601834    0.005899 -157.587891 -149.400000    8.187891    1.113111 
  99.000000  318.000000    1.607736    0.005901 -155.654297 -147.600000    8.054297    1.110111 
 100.000000  319.000000    1.613626    0.005890 -152.138672 -145.800000    6.338672    0.894089 
 101.000000  321.000000    1.619519    0.005893 -143.701172 -142.200000    1.501172    0.330033 
 102.000000  322.000000    1.625468    0.005950 -138.955078 -140.400000   -1.444922   -0.115512 
 103.000000  323.000000    1.631365    0.005896 -134.296875 -138.600000   -4.303125   -0.442544 
 104.000000  324.000000    1.637262    0.005897 -132.275391 -136.800000   -4.524609   -0.709571 
 105.000000  325.000000    1.643156    0.005895 -131.132812 -135.000000   -3.867188   -0.348035 
 106.000000  326.000000    1.649054    0.005898 -130.781250 -133.200000   -2.418750   -0.156016 
 107.000000  328.000000    1.655111    0.006057 -130.869141 -129.600000    1.269141    0.243024 
 108.000000  329.000000    1.661121    0.006010 -131.044922 -127.800000    3.244922    0.525053 
 109.000000  330.000000    1.667058    0.005936 -131.220703 -126.000000    5.220703    0.732073 
 110.000000  331.000000    1.673009    0.005951 -129.726562 -124.200000    5.526563    0.927093 
 111.000000  332.000000    1.678948    0.005940 -126.914062 -122.400000    4.514063    0.714071 
 112.000000  334.000000    1.684890    0.005941 -120.849609 -118.800000    2.049609    0.325533 
 113.000000  335.000000    1.690792    0.005902 -116.806641 -117.000000   -0.193359    0.133513 
 114.000000  336.000000    1.696741    0.005949 -113.378906 -115.200000   -1.821094   -0.214521 
 115.000000  337.000000    1.702631    0.005890 -111.357422 -113.400000   -2.042578   -0.283528 
 116.000000  338.000000    1.708534    0.005903 -110.214844 -111.600000   -1.385156   -0.100510 
 117.000000  340.000000    1.714429    0.005895 -109.160156 -108.000000    1.160156    0.156016 
 118.000000  341.000000    1.720328    0.005899 -108.808594 -106.200000    2.608594    0.444044 
 119.000000  342.000000    1.726219    0.005891 -108.632812 -104.400000    4.232812    0.598560 
 120.000000  343.000000    1.732114    0.005895 -107.666016 -102.600000    5.066016    0.784578 
 121.000000  344.000000    1.738007    0.005893 -105.820312 -100.800000    5.020312    0.751575 
 122.000000  345.000000    1.743898    0.005891 -103.447266  -99.000000    4.447266    0.619562 
 123.000000  347.000000    1.749797    0.005899  -97.294922  -95.400000    1.894922    0.432043 
 124.000000  348.000000    1.755698    0.005901  -93.867188  -93.600000    0.267187    0.085509 
 125.000000  349.000000    1.761592    0.005895  -90.615234  -91.800000   -1.184766   -0.073507 
 126.000000  350.000000    1.767483    0.005891  -87.978516  -90.000000   -2.021484   -0.189019 
 127.000000  351.000000    1.773495    0.006011  -86.572266  -88.200000   -1.627734   -0.181518 
 128.000000  353.000000    1.779384    0.005890  -84.199219  -84.600000   -0.400781    0.075008 
 129.000000  354.000000    1.785291    0.005907  -84.023438  -82.800000    1.223438    0.207021 
 130.000000  355.000000    1.791191    0.005900  -84.111328  -81.000000    3.111328    0.495050 
 131.000000  356.000000    1.797085    0.005894  -84.199219  -79.200000    4.999219    0.718572 
 132.000000  357.000000    1.802981    0.005896  -84.287109  -77.400000    6.887109    0.904590 
 133.000000  358.000000    1.808872    0.005891  -82.968750  -75.600000    7.368750    1.090609 
 134.000000  360.000000    1.814766    0.005894  -78.046875  -72.000000    6.046875    0.981098 
 135.000000  361.000000    1.821797    0.007031  -73.037109  -70.200000    2.837109    0.526553 
 136.000000  363.000000    1.834037    0.012240  -63.457031  -66.600000   -3.142969   -0.357036 
 137.000000  365.000000    1.840147    0.006110  -58.183594  -63.000000   -4.816406   -0.879088 
 138.000000  366.000000    1.846371    0.006224  -57.744141  -61.200000   -3.455859   -0.319532 
 139.000000  367.000000    1.852336    0.005965  -57.919922  -59.400000   -1.480078    0.004500 
 140.000000  368.000000    1.858337    0.006002  -58.183594  -57.600000    0.583594    0.288029 
 141.000000  370.000000    1.864293    0.005955  -57.480469  -54.000000    3.480469    0.703570 
 142.000000  371.000000    1.870251    0.005959  -55.634766  -52.200000    3.434766    0.619562 
 143.000000  372.000000    1.876200    0.005949  -53.173828  -50.400000    2.773828    0.475548 
 144.000000  373.000000    1.882146    0.005946  -50.097656  -48.600000    1.497656    0.321032 
 145.000000  374.000000    1.888043    0.005896  -47.197266  -46.800000    0.397266    0.106511 
 146.000000  375.000000    1.893929    0.005886  -45.351562  -45.000000    0.351562    0.025503 
 147.000000  377.000000    1.899775    0.005846  -42.451172  -41.400000    1.051172    0.171017 
 148.000000  378.000000    1.905803    0.006028  -41.660156  -39.600000    2.060156    0.346535 
 149.000000  379.000000    1.911701    0.005898  -40.957031  -37.800000    3.157031    0.496550 
 150.000000  380.000000    1.917608    0.005907  -40.429688  -36.000000    4.429688    0.618062 
 151.000000  381.000000    1.923504    0.005896  -39.990234  -34.200000    5.790234    0.769577 
 152.000000  383.000000    1.929404    0.005900  -37.617188  -30.600000    7.017188    1.050105 
 153.000000  384.000000    1.935297    0.005894  -34.541016  -28.800000    5.741016    0.822082 
 154.000000  385.000000    1.941187    0.005890  -30.585937  -27.000000    3.585938    0.532553 
 155.000000  386.000000    1.947088    0.005901  -26.279297  -25.200000    1.079297    0.193519 
 156.000000  387.000000    1.952980    0.005892  -22.148438  -23.400000   -1.251562   -0.102010 
 157.000000  388.000000    1.958895    0.005915  -18.457031  -21.600000   -3.142969   -0.304530 
 158.000000  390.000000    1.964807    0.005912  -16.435547  -18.000000   -1.564453   -0.610561 
 159.000000  391.000000    1.970712    0.005905  -17.050781  -16.200000    0.850781    0.216022 
 160.000000  392.000000    1.976701    0.005988  -18.193359  -14.400000    3.793359    0.592559 
 161.000000  393.000000    1.982600    0.005899  -19.248047  -12.600000    6.648047    0.958596 
 162.000000  394.000000    1.988509    0.005909  -19.863281  -10.800000    9.063281    1.227123 
 163.000000  396.000000    1.994392    0.005884  -15.644531   -7.200000    8.444531    1.636664 
 164.000000  397.000000    2.000299    0.005907  -10.634766   -5.400000    5.234766    0.856586 
 165.000000  398.000000    2.006204    0.005905   -5.097656   -3.600000    1.497656    0.211521 
 166.000000  399.000000    2.012233    0.006029    0.615234   -1.800000   -2.415234   -0.231023 
 167.000000  400.000000    2.018139    0.005905    5.888672    0.000000   -5.888672   -0.640564 
 168.000000  401.000000    2.024041    0.005902    8.701172    1.800000   -6.901172   -0.916592 
 169.000000  403.000000    2.029996    0.005955    9.228516    5.400000   -3.828516   -0.756076 
 170.000000  404.000000    2.035896    0.005900    7.031250    7.200000    0.168750    0.180018 
 171.000000  405.000000    2.041851    0.005955    5.009766    9.000000    3.990234    0.763576 
 172.000000  406.000000    2.047899    0.006048    4.042969   10.800000    6.757031    1.111611 
 173.000000  407.000000    2.053844    0.005945    4.746094   12.600000    7.853906    1.230123 
 174.000000  409.000000    2.059794    0.005950    9.843750   16.200000    6.356250    1.203120 
 175.000000  410.000000    2.065747    0.005953   15.556641   18.000000    2.443359    0.643564 
 176.000000  411.000000    2.071651    0.005905   21.093750   19.800000   -1.293750   -0.162016 
 177.000000  412.000000    2.077593    0.005941   26.542969   21.600000   -4.942969   -0.501050 
 178.000000  413.000000    2.083514    0.005921   30.585937   23.400000   -7.185938   -0.846085 
 179.000000  415.000000    2.089396    0.005883   32.607422   27.000000   -5.607422   -1.081608 
 180.000000  416.000000    2.095300    0.005904   30.849609   28.800000   -2.049609   -0.108011 
 181.000000  417.000000    2.101194    0.005894   28.388672   30.600000    2.211328    0.483048 
 182.000000  418.000000    2.107097    0.005903   26.191406   32.400000    6.208594    1.003600 
 183.000000  419.000000    2.112999    0.005902   26.630859   34.200000    7.569141    1.357636 
 184.000000  420.000000    2.118899    0.005899   29.091797   36.000000    6.908203    1.107111 
 185.000000  422.000000    2.124802    0.005903   37.705078   39.600000    1.894922    0.684068 
 186.000000  423.000000    2.130707    0.005904   43.417969   41.400000   -2.017969   -0.087009 
 187.000000  424.000000    2.136609    0.005902   49.042969   43.200000   -5.842969   -0.598560 
 188.000000  425.000000    2.142509    0.005900   52.558594   45.000000   -7.558594   -0.960096 
 189.000000  426.000000    2.148412    0.005902   54.052734   46.800000   -7.252734   -0.822082 
 190.000000  428.000000    2.154308    0.005897   51.767578   50.400000   -1.367578   -0.468047 
 191.000000  429.000000    2.160327    0.006019   49.921875   52.200000    2.278125    0.537054 
 192.000000  430.000000    2.166223    0.005896   48.251953   54.000000    5.748047    0.921092 
 193.000000  431.000000    2.172120    0.005896   48.251953   55.800000    7.548047    1.236124 
 194.000000  432.000000    2.178019    0.005899   50.185547   57.600000    7.414453    1.168617 
 195.000000  433.000000    2.183907    0.005888   54.140625   59.400000    5.259375    0.876088 
 196.000000  435.000000    2.189806    0.005899   63.720703   63.000000   -0.720703    0.160516 
 197.000000  436.000000    2.195707    0.005901   68.730469   64.800000   -3.930469   -0.393039 
 198.000000  437.000000    2.201607    0.005900   72.509766   66.600000   -5.909766   -0.682568 
 199.000000  438.000000    2.207516    0.005909   75.146484   68.400000   -6.746484   -0.697570 
 200.000000  439.000000    2.213436    0.005920   75.585938   70.200000   -5.385938   -0.613561 
 201.000000  441.000000    2.219337    0.005902   72.861328   73.800000    0.938672   -0.028503 
 202.000000  442.000000    2.225244    0.005906   71.279297   75.600000    4.320703    0.765077 
 203.000000  443.000000    2.231330    0.006086   71.279297   77.400000    6.120703    1.084608 
 204.000000  444.000000    2.237278    0.005948   73.037109   79.200000    6.162891    1.030603 
 205.000000  445.000000    2.243230    0.005952   76.113281   81.000000    4.886719    0.778578 
 206.000000  446.000000    2.249177    0.005947   80.332031   82.800000    2.467969    0.463546 
 207.000000  448.000000    2.255123    0.005946   88.242188   86.400000   -1.842187   -0.177018 
 208.000000  449.000000    2.261071    0.005948   91.142578   88.200000   -2.942578   -0.310531 
 209.000000  450.000000    2.266980    0.005909   92.988281   90.000000   -2.988281   -0.277528 
 210.000000  451.000000    2.272973    0.005993   94.394531   91.800000   -2.594531   -0.129013 
 211.000000  452.000000    2.278882    0.005909   95.625000   93.600000   -2.025000   -0.027003 
 212.000000  454.000000    2.284782    0.005900   96.591797   97.200000    0.608203    0.109511 
 213.000000  455.000000    2.290685    0.005903   96.679688   99.000000    2.320312    0.441044 
 214.000000  456.000000    2.296584    0.005899   96.591797  100.800000    4.208203    0.646565 
 215.000000  457.000000    2.302601    0.006018   96.503906  102.600000    6.096094    0.858086 
 216.000000  458.000000    2.308510    0.005909   97.558594  104.400000    6.841406    1.044104 
 217.000000  460.000000    2.314406    0.005896  103.095703  108.000000    4.904297    1.024602 
 218.000000  461.000000    2.320312    0.005906  107.578125  109.800000    2.221875    0.471047 
 219.000000  462.000000    2.326210    0.005898  111.796875  111.600000   -0.196875    0.003000 
